cd,title,address,category,menuName,menuPrice,phone,parking,holiday,openDay,openHour
341244,스시효 청담점,서울특별시 강남구 청담동 21-16,일본음식/초밥,"['점심 사시미코스', '점심스시코스', '디너 스시코스', '디너 사시미코스', '사시미 오마카세']","['85,000 원', '65,000 원', '145,000 원', '165,000 원']",02-545-0023,o,None,매일,12:00 ~ 22:00
242493,스시선수,서울특별시 강남구 신사동 651-16,일본음식/초밥,"['사시미코스 (저녁)', '저녁스시', '런치 오마카세', '디너 오마카세', '점심 장어덮밥', '점심 도미조림', '점심 지라시스시세트']","['160,000 원', '130,000 원', '110,000 원', '230,000 원', '60,000 원', '60,000 원', '60,000 원']",02-514-0812,o,연중무휴,매일,12:00 ~ 22:00
133655,오가와,서울특별시 종로구 당주동 5,일본음식/초밥,"['런치정식', '디너코스', '포장']","['50,000 원', '70,000 원', '30,000 원']",02-735-1001,o,"정기휴무-매주(토,일)",매일,11:00 ~ 22:30
306640,스시고,서울특별시 서초구 반포동 94-10,일본음식/초밥,"['런치코스', '디너코스']","['60,000 원', '130,000 원']",02-595-4700,o,"연휴-설날 전체,연휴-설날 전일,연휴-설날 당일,연휴-설날 익일,연휴-설날 대체공휴일,연휴-추석 전체,연휴-추석 전일,연휴-추석 당일,연휴-추석 익일,연휴-추석 대체공휴일",매일,12:00 ~ 22:00
352014,히까리,서울특별시 강남구 논현동 164-11,일본음식/초밥,"['고등어소바', '오마카세 런치', '단품스시 (13P)', '스끼야끼', '가리비 우니 야채볶음']","['21,000 원', '45,000 원', '35,000 원', '36,000 원', '31,000 원']",070-4400-8788,o,연중무휴,매일,17:00 ~ 00:00
316846,스시조,서울특별시 중구 소공동 87-1,일본음식/초밥,"['런치(hall)', '디너(hall)', '런치(room)', '디너(room)']","['124,000 원', '180,000 원', '156,000 원', '300,000 원', '136,000 원', '250,000 원', '180,000 원', '300,000 원']",02-317-0314,o,None,None,None
346847,아리아께,서울특별시 중구 장충동2가 202,일본음식/초밥,"['스키야키', '홀런치세트', '룸런치세트']","['100,000 원', '95,000 원', '175,000 원', '115,000 원', '252,000 원']",02-2230-3356,o,None,매일,12:00 ~ 22:00
283819,우미노히,서울특별시 강남구 청담동 125,일본음식/초밥,['사시미 오마카세'],"['130,000 원', '200,000 원']",02-548-0995,o,None,매일,18:00 ~ 03:00
229438,스시 가이센,경기도 안양시 동안구 비산동 1115,일본음식/초밥,"['런치오마카세', '디너오마카세', '사시미오마카세(주문예약)']","['40,000 원', '60,000 원', '70,000 원']",031-386-4131,o,정기휴무-매주(일),"월,화,수,목,금,토",11:30 ~ 21:00
354668,스시쿤,경기도 성남시 분당구 정자동 15-3,일본음식/초밥,"['런치.스시코스', '런치.스시오마카세', '런치.사시미오마카세', '디너.오마카세']","['40,000 원', '55,000 원', '60,000 원', '90,000 원']",031-719-6972,x,연중무휴,매일,12:00 ~ 22:00
354112,쥬안,서울특별시 강남구 청담동 97-8,일본음식/초밥,"['디너 단품코스', '오마카세']","['130,000 원', '150,000 원', '200,000 원']",02-512-4833,o,정기휴무-매주(일),매일,12:00 ~ 22:30
359809,스시만,서울특별시 서초구 방배동 1-3,일본음식/초밥,"['런치 오마카세', '디너 오마카세', '스시 포장']","['100,000 원', '200,000 원', '100,000 원']",02-533-0181,o,None,None,None
240943,하쯔호,서울특별시 영등포구 여의도동 61,일본음식/초밥,"['스시 런치\n', '오마카세 런치', '스시 디너', '오마카세 디너']","['45,000 원', '70,000 원', '70,000 원', '100,000 원']",02-780-1634,o,"정기휴무-매주(목,일)",주중,11:30 ~ 21:30
254940,이노시시,서울특별시 마포구 연남동 226-16,일본음식/초밥,"['초특급 오마카세', '오마카세', '제철 사시미']","['100,000 원', '75,000 원', '54,000 원']",070-4242-7307,None,정기휴무-매주(일),"월,화,수,목,금,토",18:00 ~ 22:00
345627,스시타츠,서울특별시 강남구 논현동 8-6,일본음식/초밥,['omakase'],[],02-514-3336,o,"연휴-설날 당일,연휴-추석 당일",매일,12:00 ~ 22:00
359733,스시코우지,서울특별시 강남구 청담동 1-1,일본음식/초밥,"['런치 카운터 스시오마카세', '런치 카운터 사시미오마카세', '런치 룸 스시코스', '런치 룸 사시미코스', '런치 룸 스시오마카세']","['110,000 원', '140,000 원', '65,000 원', '90,000 원', '100,000 원']",02-541-6200,o,연중무휴,매일,12:00 ~ 22:00
